Institution Address,Latitude,Longitude
3030 Lawrence Ave. E.,43.7564654,-79.2479353
2075 Bayview Ave - LSSE,,
25 Brunswick Ave - 4W,,
2075 Bayview Ave - LTSE,,
155 Millwood Rd - 4N,,
2701 St Clair Avenue East,43.7053205,-79.3120308
1235 Wilson Avenue,43.7231725,-79.4894205
14 St. Matthews Road,43.6665464,-79.3545801
200 Elizabeth Street - In-Centre Hemodialysis,,
2100 Bloor St W - & Main Kitchen,,
66 Roncesvalles Ave - Admin Area & Kitchen,,
400 The West Mall - Main Fl & Laundry,,
200 Elizabeth St - ENT Laryngology - Administrative Offices,,
"2245 Lawrence Ave W - Islington, Brule & Wadsworth",,
225 St. George St,43.6725239,-79.4014333
2245 Lawrence Ave W - Emma & WIlliamsburg East,,
262 St. Clair Avenue W,43.6855511,-79.4083719
700 Mount Pleasant Rd,43.7061899,-79.3896673
38 Major St,43.6576486,-79.402857
707 Ellesmere Rd,43.7637055,-79.2886398
600 Melita Crescent,43.6731367,-79.4224491
5 Resurrection Road,43.6440135,-79.5308514
3030 Lawrence Ave E,43.7564654,-79.2479353
625 Runnymede Road,43.6646911,-79.4809879
3030 Lawrence Ave E - Medicine Unit,,
399 Bathurst Street,43.653567,-79.405496
2867 Ellesmere Road,43.7810872,-79.2054396
555 University Avenue,43.6572672,-79.3875622
22 Norfinch Drive,43.7562381,-79.5267042
200 Elizabeth Street - Transportation & Linen Services,,
340 McCowan Road,43.738356,-79.2384568
200 Elizabeth Street - 5B Cardiology,,
520 Sutherland Drive,43.7192674,-79.3698281
500 Kingston Rd.,43.6775921,-79.3027295
4251 Dundas Street St W,43.6528558,-79.3976569
66 Roncesvalles Avenue,43.6404564,-79.4477866
285 Cummer Avenue,43.787308,-79.4042741
3276 St. Clair Avenue East,43.7122483,-79.2849702
225 St. George Street,43.6725239,-79.4014333
4180 Dundas Street,43.6611089,-79.5100508
70 Humberline Drive,43.7317185,-79.6174314
101 Humber College Boulevard - 7E Cardiology,,
2045 Finch Ave West,43.7560367,-79.5213903
205 Cummer Avenue,43.7881335,-79.4073951
685 Finch Ave West,43.770422,-79.4568975
200 Elizabeth Street - Hemodialysis Centre,,
2005 Lawrence Avenue West,43.701037,-79.510078
52 Neilson Drive,43.6291114,-79.5657079
825 Coxwell Avenue,43.6901603,-79.3250179
3830 Lawrence Avenue East,43.7634425,-79.2105221
101 Humber College Boulevard - 8 Medflex,,
1195 Queen Street East,43.6626105,-79.3311041
2 O'Connor Dr,43.6925052,-79.3554599
866 Sheppard Avenue,43.7524034,-79.4539034
160 Wellesley Street East,43.6671004,-79.3753082
399 Bathurst St - 6B,,
200 Elizabeth Street - OR Staff areas,,
200 Elizabeth Street - Hemodialysis Unit,,
1000 Ellesmere Road,43.7671682,-79.278199
399 Bathrust Street,,
77 Main Street,,
2339 Dufferin Street,43.694738,-79.4494473
303 Queens Drive,,
825 Coxwell Avenue - palliative care,,
306 Finch Avenue East,43.7850168,-79.3940478
45 Brunswick Avenue,43.6587983,-79.4039232
1066 Avenue Road,43.7057203,-79.4102447
200 Elizabeth Street - EVS,,
2111 Finch Avenue West,43.7540762,-79.5263296
4005 Eglinton Avenue,43.6836338,-79.5125369
40 Bell Estate Road,43.7057315,-79.2772767
2030 McNicoll Avenue,43.8130315,-79.3000348
102 Craiglee Drive,43.706943,-79.2531911
77 Dunfield Avenue,43.706703,-79.3946161
148 Markham Road,43.740884,-79.2187095
740 Pape Avenue,43.6801265,-79.3458056
500 Kingston Road - 3rd Fl,,
429 Walmer Road,43.6855283,-79.4123728
5935 Bathurst Street,43.7818272,-79.444486
205 Cummer,43.7881335,-79.4073951
500 Kingston Road,43.6775921,-79.3027295
33 Christie Street,43.6647926,-79.4185841
59 Lawson Road,43.783337,-79.1634133
4180 Dundas Street W,43.6611089,-79.5100508
60 Richview Road,43.6844777,-79.5190759
1035 Eglinton Avenue W,43.6993415,-79.4326308
1029 McNicoll Ave,43.8041031,-79.3355993
3760 Sheppard Avenue East,43.7828345,-79.2938789
146 Sumach St,43.6585859,-79.3598187
4005 Eglinton Avenue W,43.6833622,-79.516936
685 Finch Avenue,43.770422,-79.4568975
1-3 Kenton Dr,43.7787683,-79.4409595
1 Northwestern Avenue,43.6980865,-79.4692172
10-14 William Morgan Dr,43.7089887,-79.3413987
3758 Sheppard Avenue E,43.782513,-79.2945946
537 Finch Avenue,43.7701792,-79.4445306
180 Sheridan Ave,43.6515913,-79.4346657
19 Reans Dr,,
4251 Dundas Street W,43.6588743,-79.5143047
147 Elder Street,43.7626531,-79.454186
4650 Eglinton Avenue West,43.6713876,-79.5727486
2881 Eglinton Avenue E,43.738121,-79.2398504
610 University Avenue,43.6581636,-79.3906322
880 Lawrence Avenue,43.7363826,-79.3487254
921 Millwood Road,43.7029279,-79.3635915
